name,level,published,created_on,review_count,average_rating
moistful,2,True,2019-12-30,6,3.8333
myalgia,1,True,2019-12-30,6,2.1667
phasmatrope,2,True,2019-12-30,2,3.0
cacochroia,1,True,2019-12-30,3,2.6667
retrofracted,2,True,2019-12-30,3,3.0
chartographist,1,True,2019-12-30,2,1.5
breakable,2,True,2019-12-30,1,4.0
astrologistic,0,True,2019-12-30,4,3.25
tetraptote,2,True,2019-12-30,6,3.3333
cacotrophia,0,True,2019-12-30,2,1.5
exsibilate,2,True,2019-12-30,4,3.0
celebrant,0,True,2019-12-30,7,3.4286
Gemmingia,1,True,2019-12-30,2,1.5
plumatellid,0,True,2019-12-30,2,3.0
misdecision,2,True,2019-12-30,2,2.0
Trithrinax,1,True,2019-12-30,2,3.0
compilement,2,True,2019-12-30,4,2.25
overdestructive,1,True,2019-12-30,1,4.0
ental,2,True,2019-12-30,3,2.3333
slour,2,True,2019-12-30,3,2.6667
yajnopavita,2,True,2019-12-30,6,3.5
competent,1,True,2019-12-30,5,2.8
holdable,0,True,2019-12-30,2,1.5
convenience,2,True,2019-12-30,3,2.3333
cartographical,0,True,2019-12-30,1,1.0
Lucayan,1,True,2019-12-30,4,2.0
protopectinase,2,True,2019-12-30,2,4.0
chlorinator,0,True,2019-12-30,4,3.0
paleness,1,True,2019-12-30,5,1.4
impermeability,2,True,2019-12-30,2,3.0
nob,0,True,2019-12-30,4,2.0
untorrid,1,True,2019-12-30,1,2.0
indeed,0,True,2019-12-30,4,2.5
acanthial,0,True,2019-12-30,4,2.75
tectorial,2,True,2019-12-30,4,3.5
redraft,2,True,2019-12-30,2,2.5
mordantly,2,True,2019-12-30,1,3.0
overrack,0,True,2019-12-30,3,4.0
thiostannous,2,True,2019-12-30,3,3.3333
refractometry,1,True,2019-12-30,3,2.0
esugarization,1,True,2019-12-30,4,2.25
invitingness,2,True,2019-12-30,4,3.75
anorthose,2,True,2019-12-30,10,3.3
wulfenite,0,True,2019-12-30,3,1.6667
ponderously,2,True,2019-12-30,6,4.0
freaky,1,True,2019-12-30,1,3.0
sudoral,1,True,2019-12-30,5,3.6
payee,2,True,2019-12-30,3,3.0
unirradiated,0,True,2019-12-30,5,2.0
unstifled,1,True,2019-12-30,3,4.3333
